M0,H,T,Loss
Mean,0,0,4.865436511115521
Mean,0,1,0.10447930211133903
Mean,0,2,5.936961447579426
Mean,0,3,32.09683613659727
Mean,0,4,13.509969598030311
Mean,0,5,3.0498797439763017
Mean,0,6,0.526928995393144
Mean,0,7,0.387152918257417
Mean,0,8,0.21290629875254358
Mean,0,9,0.18606894665749557
Mean,0,10,0.0036520881485464624
Mean,0,11,0.17980003813195555
Mean,0,12,3.5513979387730896
Mean,0,13,0.014670356749204893
Mean,0,14,2.2356967501074183
Mean,0,15,0.5247516183157486
Mean,0,16,0.021276699794266343
Mean,0,17,0.2981165918477354
Mean,0,18,1.1764442214482542
Mean,0,19,1.4630066505929369
Mean,0,20,0.05806215627487637
Mean,0,21,1.3289424132418202
Mean,0,22,0.009168206152192252
Mean,0,23,0.003348718164497017
Mean,0,24,4.389546994577353
Mean,0,25,1.0672709327492103
Mean,0,26,0.6507544972254276
Mean,0,27,0.3126442254669123
Mean,0,28,0.018789066696566867
Mean,0,29,0.09517110433786267
Mean,0,30,0.6396702845831841
Mean,0,31,1.2987909342278037
Mean,0,32,0.08465188381898134
Mean,0,33,0.7056360241583622
Mean,0,34,0.0718952850444832
Mean,0,35,0.2185314032758258
Mean,0,36,0.2654696969822545
Mean,0,37,0.12054367475081015
Mean,0,38,0.0018175662732569779
Mean,0,39,0.14390212265373944
Mean,0,40,0.0016642104420201299
Mean,0,41,0.03110271838020873
Mean,0,42,0.24607248208995022
Mean,0,43,0.9841024595770508
Mean,0,44,0.07534433845577526
Mean,0,45,0.009638478249075889
Mean,0,46,0.011426572861076567
Mean,0,47,0.2710877358628976
Mean,1,0,4.865436511115521
Mean,1,1,0.10447930211133903
Mean,1,2,5.936961447579426
Mean,1,3,32.09683613659727
Mean,1,4,13.509969598030311
Mean,1,5,3.0498797439763017
Mean,1,6,0.526928995393144
Mean,1,7,0.387152918257417
Mean,1,8,0.21290629875254358
Mean,1,9,0.18606894665749557
Mean,1,10,0.0036520881485464624
Mean,1,11,0.17980003813195555
Mean,1,12,3.5513979387730896
Mean,1,13,0.014670356749204893
Mean,1,14,2.2356967501074183
Mean,1,15,0.5247516183157486
Mean,1,16,0.021276699794266343
Mean,1,17,0.2981165918477354
Mean,1,18,1.1764442214482542
Mean,1,19,1.4630066505929369
Mean,1,20,0.05806215627487637
Mean,1,21,1.3289424132418202
Mean,1,22,0.009168206152192252
Mean,1,23,0.003348718164497017
Mean,1,24,4.389546994577353
Mean,1,25,1.0672709327492103
Mean,1,26,0.6507544972254276
Mean,1,27,0.3126442254669123
Mean,1,28,0.018789066696566867
Mean,1,29,0.09517110433786267
Mean,1,30,0.6396702845831841
Mean,1,31,1.2987909342278037
Mean,1,32,0.08465188381898134
Mean,1,33,0.7056360241583622
Mean,1,34,0.0718952850444832
Mean,1,35,0.2185314032758258
Mean,1,36,0.2654696969822545
Mean,1,37,0.12054367475081015
Mean,1,38,0.0018175662732569779
Mean,1,39,0.14390212265373944
Mean,1,40,0.0016642104420201299
Mean,1,41,0.03110271838020873
Mean,1,42,0.24607248208995022
Mean,1,43,0.9841024595770508
Mean,1,44,0.07534433845577526
Mean,1,45,0.009638478249075889
Mean,1,46,0.011426572861076567
Mean,1,47,0.2710877358628976
Mean,2,0,4.865436511115521
Mean,2,1,0.10447930211133903
Mean,2,2,5.936961447579426
Mean,2,3,32.09683613659727
Mean,2,4,13.509969598030311
