M0,H,T,Loss
Mean,0,0,3.6120741171753067e-06
Mean,0,1,2.953337212490141e-06
Mean,0,2,2.0253343151472695e-05
Mean,0,3,2.6014501174200978e-05
Mean,0,4,6.2384022690747176e-06
Mean,0,5,2.2817385172271064e-05
Mean,0,6,3.1206739539361373e-06
Mean,0,7,9.008402746599721e-07
Mean,0,8,9.321018674694576e-05
Mean,0,9,4.5047835795128606e-05
Mean,0,10,2.9877421636410802e-05
Mean,0,11,2.861462623810881e-06
Mean,0,12,3.785694947881199e-06
Mean,0,13,1.5253675793672228e-07
Mean,0,14,8.652304847208272e-06
Mean,0,15,2.1903861848791952e-05
Mean,0,16,4.9248506112687405e-08
Mean,0,17,9.455570397997125e-06
Mean,0,18,5.2053626638830105e-09
Mean,0,19,1.227772638504085e-06
Mean,0,20,1.812156714899961e-06
Mean,0,21,2.1158468124483874e-07
Mean,0,22,1.2722104992878654e-06
Mean,0,23,1.096969705474365e-05
Mean,1,0,2.88039681210946e-06
Mean,1,1,2.0425574709265903e-05
Mean,1,2,2.6521427819688776e-05
Mean,1,3,5.9645352295068815e-06
Mean,1,4,2.256153007918275e-05
Mean,1,5,2.943717078175909e-06
Mean,1,6,9.364844122600056e-07
Mean,1,7,9.301938079301859e-05
Mean,1,8,4.372167935220421e-05
Mean,1,9,3.0630820113172736e-05
Mean,1,10,2.6777181149752365e-06
Mean,1,11,3.7201551886093212e-06
Mean,1,12,1.3786021797210526e-07
Mean,1,13,8.67484545183033e-06
Mean,1,14,2.2171989760987648e-05
Mean,1,15,7.124711178509841e-08
Mean,1,16,9.468573001482388e-06
Mean,1,17,1.023284982394681e-08
Mean,1,18,1.2292673687081935e-06
Mean,1,19,1.8398844835856444e-06
Mean,1,20,2.2309891122026658e-07
Mean,1,21,1.2627947885216952e-06
Mean,1,22,1.103711096595965e-05
Mean,1,23,2.407423521696147e-06
Mean,2,0,2.0233009323063278e-05
Mean,2,1,2.6718464393629743e-05
Mean,2,2,5.72542085270414e-06
Mean,2,3,2.309126830652924e-05
Mean,2,4,3.036596094122236e-06
Mean,2,5,8.407142438305524e-07
Mean,2,6,9.266103819158919e-05
Mean,2,7,4.3852523902285256e-05
Mean,2,8,2.953901160454068e-05
Mean,2,9,2.4582666067669884e-06
Mean,2,10,3.936187549153591e-06
Mean,2,11,1.5070792243460862e-07
Mean,2,12,8.561738397440433e-06
Mean,2,13,2.220806389858405e-05
Mean,2,14,8.730819685276494e-08
Mean,2,15,9.747546796601094e-06
Mean,2,16,1.0664914673032821e-08
Mean,2,17,1.294435596418755e-06
Mean,2,18,1.84171416267155e-06
Mean,2,19,2.3289618488469524e-07
Mean,2,20,1.235190618407695e-06
Mean,2,21,1.1009343661846724e-05
Mean,2,22,2.4390595929867028e-06
Mean,2,23,5.091918858509251e-06
Mean,3,0,2.6498158536806783e-05
Mean,3,1,5.634406186250511e-06
Mean,3,2,2.3569006453627103e-05
Mean,3,3,2.84645348656833e-06
Mean,3,4,8.906857229089764e-07
Mean,3,5,9.364194665706389e-05
Mean,3,6,4.4099148969117524e-05
Mean,3,7,2.9646577716430857e-05
Mean,3,8,2.780280768980678e-06
Mean,3,9,4.2126338497361584e-06
Mean,3,10,1.1088821153941146e-07
Mean,3,11,8.661017663502374e-06
Mean,3,12,2.2026868066899133e-05
Mean,3,13,8.958564997270581e-08
Mean,3,14,9.926684940427112e-06
Mean,3,15,2.198475663284732e-08
Mean,3,16,1.299249314480387e-06
Mean,3,17,1.9212927498512935e-06
Mean,3,18,2.3354744756922618e-07
Mean,3,19,1.2124907682138208e-06
Mean,3,20,1.0927539935599281e-05
Mean,3,21,2.4260156523390755e-06
Mean,3,22,5.137881395006597e-06
Mean,3,23,1.5377336940928593e-06
Mean,4,0,5.736239888769791e-06
Mean,4,1,2.3754773160475966e-05
Mean,4,2,2.6820251190195945e-06
Mean,4,3,7.891157919696118e-07
Mean,4,4,9.312288867678875e-05
Mean,4,5,4.342681457615303e-05
Mean,4,6,2.9849420161138756e-05
Mean,4,7,2.747407905995665e-06
Mean,4,8,3.813970029400796e-06
Mean,4,9,6.996627168771208e-08
Mean,4,10,8.339090418832426e-06
Mean,4,11,2.218593589937634e-05
Mean,4,12,7.842486582423282e-08
Mean,4,13,9.950827483701914e-06
Mean,4,14,3.126907316819755e-08
Mean,4,15,1.4038640292894903e-06
Mean,4,16,1.9271563585076224e-06
Mean,4,17,2.624275405277794e-07
Mean,4,18,1.2110062759341557e-06
Mean,4,19,1.0859814478920813e-05
Mean,4,20,2.3876958759335997e-06
Mean,4,21,5.118941800656787e-06
Mean,4,22,1.5126354101516249e-06
Mean,4,23,1.4585298195011979e-05
Mean,5,0,2.3547070859929744e-05
Mean,5,1,2.6198472014349314e-06
Mean,5,2,7.036982888264426e-07
Mean,5,3,9.419594833231658e-05
Mean,5,4,4.378150281902578e-05
Mean,5,5,2.9296733992613832e-05
Mean,5,6,2.6861094956308386e-06
Mean,5,7,3.8526841335591005e-06
Mean,5,8,1.3252712140889912e-07
Mean,5,9,7.94823200551924e-06
Mean,5,10,2.1668862290262526e-05
Mean,5,11,8.818539485982827e-08
Mean,5,12,9.829660889768745e-06
Mean,5,13,3.2637908877167846e-08
Mean,5,14,1.4723534912487188e-06
Mean,5,15,2.0541255146169783e-06
Mean,5,16,2.6459742645901166e-07
Mean,5,17,1.148000715753603e-06
Mean,5,18,1.0855370842841693e-05
Mean,5,19,2.356094169220164e-06
Mean,5,20,5.063209813347498e-06
Mean,5,21,1.5229388972634057e-06
Mean,5,22,1.4507786718706174e-05
Mean,5,23,7.725818741329354e-09
Mean,6,0,2.689431580671361e-06
Mean,6,1,6.720269745205054e-07
Mean,6,2,9.515835395624241e-05
Mean,6,3,4.305091567226076e-05
Mean,6,4,2.958818761531159e-05
Mean,6,5,2.8552618734960154e-06
Mean,6,6,3.926028138023228e-06
Mean,6,7,1.2542648430892137e-07
Mean,6,8,8.5193482617051e-06
Mean,6,9,2.1035937209432248e-05
Mean,6,10,5.8442042992496564e-08
Mean,6,11,9.936017215140642e-06
Mean,6,12,2.6048484525081354e-08
Mean,6,13,1.4816604505182993e-06
Mean,6,14,2.1368011575273194e-06
Mean,6,15,3.1291923754532464e-07
Mean,6,16,1.1434761203136626e-06
Mean,6,17,1.0665055331237105e-05
Mean,6,18,2.3540246348815432e-06
Mean,6,19,5.0171431292041416e-06
Mean,6,20,1.553573363549959e-06
Mean,6,21,1.4539659380568813e-05
Mean,6,22,6.04275625084962e-09
Mean,6,23,3.422389210237357e-06
Mean,7,0,7.074945635505299e-07
Mean,7,1,9.553125389532376e-05
Mean,7,2,4.2404386143965045e-05
Mean,7,3,2.898813370285565e-05
Mean,7,4,2.765220605463477e-06
Mean,7,5,3.727232570176538e-06
Mean,7,6,1.1260106933907212e-07
Mean,7,7,8.461731388429327e-06
Mean,7,8,2.1958843924249025e-05
Mean,7,9,3.0019186367544515e-08
Mean,7,10,9.59099086510497e-06
Mean,7,11,3.179491520772649e-08
Mean,7,12,1.4351334039441613e-06
Mean,7,13,2.1480101754175967e-06
Mean,7,14,3.4568509059172334e-07
Mean,7,15,1.049257945230554e-06
Mean,7,16,1.0651255358531436e-05
Mean,7,17,2.265849065686746e-06
Mean,7,18,5.01412293697076e-06
Mean,7,19,1.5792545354868684e-06
Mean,7,20,1.4633996200954662e-05
Mean,7,21,6.710367726809031e-09
Mean,7,22,3.4600892935249497e-06
Mean,7,23,6.140235414632169e-07
AR(1),0,0,6.662202809535965e-08
AR(1),0,1,6.310953896599905e-06
AR(1),0,2,1.358491786261764e-05
AR(1),0,3,9.263120591437473e-06
AR(1),0,4,2.3434080429998676e-05
AR(1),0,5,3.400206396048858e-05
AR(1),0,6,1.5312296456107365e-05
AR(1),0,7,5.443720188381282e-08
AR(1),0,8,0.00010033185722452053
AR(1),0,9,0.00011937104875075596
AR(1),0,10,7.865796151609745e-06
AR(1),0,11,1.5034699444604402e-05
AR(1),0,12,7.158062077260166e-06
AR(1),0,13,1.267844108403665e-06
AR(1),0,14,7.497353497638236e-06
AR(1),0,15,1.1915339374989791e-05
AR(1),0,16,2.9483834703171808e-06
AR(1),0,17,8.642362742200174e-06
AR(1),0,18,1.4674746312018224e-06
AR(1),0,19,1.068646139905093e-06
AR(1),0,20,7.330118121342328e-07
AR(1),0,21,1.5792871803224022e-08
AR(1),0,22,1.8416372961874715e-06
AR(1),0,23,8.426494410056817e-06
AR(1),1,0,4.11676909055292e-06
AR(1),1,1,1.663382862589237e-05
AR(1),1,2,1.6893090553743603e-05
AR(1),1,3,1.3156203314540197e-05
AR(1),1,4,2.7083920241248785e-05
AR(1),1,5,7.737086116466752e-06
AR(1),1,6,4.6369499253520004e-07
AR(1),1,7,9.537838635985491e-05
AR(1),1,8,7.434333682864644e-05
AR(1),1,9,1.9471023216971847e-05
AR(1),1,10,6.551154291049251e-06
AR(1),1,11,5.26433179497286e-06
AR(1),1,12,4.1870945404919504e-07
AR(1),1,13,7.906026110189772e-06
AR(1),1,14,1.7046820271924602e-05
AR(1),1,15,3.928189256894995e-07
AR(1),1,16,8.843677859443632e-06
AR(1),1,17,2.519514548968469e-07
AR(1),1,18,1.0663045722316757e-06
AR(1),1,19,1.2105662525355644e-06
