M0,H,T,Loss
Mean,0,0,0.0001315625950843674
Mean,0,1,2.8251459220500395e-06
Mean,0,2,0.00016053689184412136
Mean,0,3,0.0008679063114853531
Mean,0,4,0.00036531288729533976
Mean,0,5,8.246949536718377e-05
Mean,0,6,1.4248289110492662e-05
Mean,0,7,1.0468709745583274e-05
Mean,0,8,5.757038471203921e-06
Mean,0,9,5.031349896550652e-06
Mean,0,10,9.87533581420577e-08
Mean,0,11,4.8618370744056434e-06
Mean,0,12,9.603067020499187e-05
Mean,0,13,3.966900401083117e-07
Mean,0,14,6.0453787772966114e-05
Mean,0,15,1.4189412300955652e-05
Mean,0,16,5.753271743182021e-07
Mean,0,17,8.061145669374454e-06
Mean,0,18,3.1811339926467214e-05
Mean,0,19,3.9560058206075546e-05
Mean,0,20,1.570014928417067e-06
Mean,0,21,3.593492838809841e-05
Mean,0,22,2.479105401735732e-07
Mean,0,23,9.055015946069284e-08
Mean,0,24,0.00011869442598460217
Mean,0,25,2.8859267457259728e-05
Mean,0,26,1.759656101198835e-05
Mean,0,27,8.453976441085746e-06
Mean,0,28,5.080609659927193e-07
Mean,0,29,2.573449974144986e-06
Mean,0,30,1.7296841186984172e-05
Mean,0,31,3.511962500973691e-05
Mean,0,32,2.2890076745554153e-06
Mean,0,33,1.908057094388119e-05
Mean,0,34,1.9440661188720084e-06
Mean,0,35,5.909142675423442e-06
Mean,0,36,7.178365635119229e-06
Mean,0,37,3.2595304933054077e-06
Mean,0,38,4.9147437254850886e-08
Mean,0,39,3.891148646421087e-06
Mean,1,0,2.8251459220500395e-06
Mean,1,1,0.00016053689184412136
Mean,1,2,0.0008679063114853531
Mean,1,3,0.00036531288729533976
Mean,1,4,8.246949536718377e-05
Mean,1,5,1.4248289110492662e-05
Mean,1,6,1.0468709745583274e-05
Mean,1,7,5.757038471203921e-06
Mean,1,8,5.031349896550652e-06
Mean,1,9,9.87533581420577e-08
Mean,1,10,4.8618370744056434e-06
Mean,1,11,9.603067020499187e-05
