M0,H,T,Loss
Mean,0,0,0.011470073891844262
Mean,0,1,0.0016808170400284617
Mean,0,2,0.012670315380609962
Mean,0,3,0.02946024968470826
Mean,0,4,0.019113160055190762
Mean,0,5,0.009081271682269161
Mean,0,6,0.0037746905979818613
Mean,0,7,-0.0032355385557250394
Mean,0,8,0.002399382935507361
Mean,0,9,-0.002243067073573738
Mean,0,10,-0.00031425047039273894
Mean,0,11,0.002204957386074761
Mean,0,12,0.009799523978489561
Mean,0,13,0.0006298333431220609
Mean,0,14,0.007775203391099561
Mean,0,15,-0.003766883632521139
Mean,0,16,-0.0007585032460828379
Mean,0,17,0.002839215678558861
Mean,0,18,0.005640154246691061
Mean,0,19,0.006289678704518661
Mean,0,20,-0.0012530023656869395
Mean,0,21,0.005994574913044161
Mean,0,22,-0.0004979061559908385
Mean,0,23,0.00030091553542596107
Mean,0,24,0.010894697149742262
Mean,0,25,-0.005372082227336038
Mean,0,26,-0.004194825504355139
Mean,0,27,0.0029075722589620616
Mean,0,28,-0.000712783954640338
Mean,0,29,0.0016041976106904617
Mean,0,30,0.004158947124812261
Mean,0,31,0.005926181317656161
Mean,0,32,0.0015129466859593616
Mean,0,33,0.004368131287390661
Mean,0,34,0.0013942977152932613
Mean,0,35,0.0024308728217295617
Mean,0,36,0.0026792472142598616
Mean,0,37,0.001805416985991161
Mean,0,38,0.00022169221288726153
Mean,0,39,-0.001972599464265639
Mean,1,0,0.0016808170400284617
Mean,1,1,0.012670315380609962
Mean,1,2,0.02946024968470826
Mean,1,3,0.019113160055190762
Mean,1,4,0.009081271682269161
Mean,1,5,0.0037746905979818613
Mean,1,6,-0.0032355385557250394
Mean,1,7,0.002399382935507361
Mean,1,8,-0.002243067073573738
Mean,1,9,-0.00031425047039273894
Mean,1,10,0.002204957386074761
Mean,1,11,0.009799523978489561
Mean,1,12,0.0006298333431220609
Mean,1,13,0.007775203391099561
Mean,1,14,-0.003766883632521139
Mean,1,15,-0.0007585032460828379
Mean,1,16,0.002839215678558861
Mean,1,17,0.005640154246691061
Mean,1,18,0.006289678704518661
Mean,1,19,-0.0012530023656869395
Mean,1,20,0.005994574913044161
Mean,1,21,-0.0004979061559908385
Mean,1,22,0.00030091553542596107
Mean,1,23,0.010894697149742262
Mean,1,24,-0.005372082227336038
Mean,1,25,-0.004194825504355139
Mean,1,26,0.0029075722589620616
Mean,1,27,-0.000712783954640338
Mean,1,28,0.0016041976106904617
Mean,1,29,0.004158947124812261
Mean,1,30,0.005926181317656161
Mean,1,31,0.0015129466859593616
Mean,1,32,0.004368131287390661
Mean,1,33,0.0013942977152932613
Mean,1,34,0.0024308728217295617
Mean,1,35,0.0026792472142598616
Mean,1,36,0.001805416985991161
Mean,1,37,0.00022169221288726153
Mean,1,38,-0.001972599464265639
Mean,1,39,-0.0002121335853008388
Mean,2,0,0.012670315380609962
Mean,2,1,0.02946024968470826
