M0,H,T,Loss
Mean,0,0,0.011470073891844262
Mean,0,1,0.0015232623248701517
Mean,0,2,0.012818721776752143
Mean,0,3,0.02959670999188284
Mean,0,4,0.018910368696864424
Mean,0,5,0.00847211671961831
Mean,0,6,0.002936401079353198
Mean,0,7,-0.0040324545740249886
Mean,0,8,0.0015859703893165685
Mean,0,9,-0.0032398802788738716
Mean,0,10,-0.0013303740642348228
Mean,0,11,0.001312665668938135
Mean,0,12,0.008847891901383628
Mean,0,13,-0.000660431321095045
Mean,0,14,0.006374495018911664
Mean,0,15,-0.005471434847367883
Mean,0,16,-0.002537049769940794
Mean,0,17,0.0009623984756391693
Mean,0,18,0.0034221585753085072
Mean,0,19,0.003868049587553939
Mean,0,20,-0.004124135770278241
Mean,0,21,0.002956320826309437
Mean,0,22,-0.0035597839148018623
Mean,0,23,-0.002571906030451164
Mean,0,24,0.008289446337285249
Mean,0,25,-0.008256255526451525
Mean,0,26,-0.006819652060944755
Mean,0,27,0.0003337874068103843
Mean,0,28,-0.003711850133664845
Mean,0,29,-0.0014176919873129766
Mean,0,30,0.000913533127017523
Mean,0,31,0.002472687635762636
Mean,0,32,-0.002142884452186653
Mean,0,33,0.0005522176624249151
Mean,0,34,-0.002508833970351592
Mean,0,35,-0.0014673468343487863
Mean,0,36,-0.00132000331993725
Mean,0,37,-0.0020089080286797866
Mean,0,38,-0.0025187850645879166
Mean,0,39,-0.003948462734253016
Mean,1,0,0.0016317857873599162
Mean,1,1,0.012606546360605982
Mean,1,2,0.0297858375025853
Mean,1,3,0.01928613886372748
Mean,1,4,0.00880809498041042
Mean,1,5,0.003119258791771572
Mean,1,6,-0.003998739324918871
Mean,1,7,0.001631065706987231
Mean,1,8,-0.0031054051962147965
Mean,1,9,-0.0013019943036468107
Mean,1,10,0.00123523795474221
Mean,1,11,0.008874307158843802
Mean,1,12,-0.00033918822770041736
Mean,1,13,0.0064360951929031615
Mean,1,14,-0.005175453607380013
Mean,1,15,-0.002583542035864619
Mean,1,16,0.0009818466708953573
Mean,1,17,0.003634833627990635
Mean,1,18,0.003991974673320166
Mean,1,19,-0.0038318946964022733
Mean,1,20,0.0031406665003533667
Mean,1,21,-0.003469121069843026
Mean,1,22,-0.002606410055524962
Mean,1,23,0.00819950393002076
Mean,1,24,-0.008051076796393119
Mean,1,25,-0.007068648451399757
Mean,1,26,0.0002740502025041537
Mean,1,27,-0.0035528844565864987
Mean,1,28,-0.001425669154138125
Mean,1,29,0.0010179412424159615
Mean,1,30,0.0025123396938010003
Mean,1,31,-0.0020378359327364827
Mean,1,32,0.0004644821944951899
Mean,1,33,-0.0023671919145775893
Mean,1,34,-0.0014573227043045102
Mean,1,35,-0.0012888547604522002
Mean,1,36,-0.0019803814522731744
Mean,1,37,-0.0033321624969031263
Mean,1,38,-0.004216934839385801
Mean,1,39,-0.0021317835012883883
Mean,2,0,0.012674368082261451
Mean,2,1,0.029635166565432625
Mean,2,2,0.019437955298950406
Mean,2,3,0.009315158806426136
Mean,2,4,0.0034458993488543405
Mean,2,5,-0.003947012964143849
Mean,2,6,0.0016489946450149416
Mean,2,7,-0.003120748684874307
Mean,2,8,-0.0012884415832701756
Mean,2,9,0.001135404437029139
Mean,2,10,0.008887123224894112
Mean,2,11,-0.00030055593213694325
Mean,2,12,0.0066316500943699105
Mean,2,13,-0.005181116128025982
Mean,2,14,-0.0023546499577822106
Mean,2,15,0.0009598431518576499
Mean,2,16,0.0037145348132342857
Mean,2,17,0.0040834041653469814
Mean,2,18,-0.0036127367686184632
Mean,2,19,0.0031904718084514354
Mean,2,20,-0.0036219853717739964
Mean,2,21,-0.002701111261053774
Mean,2,22,0.007951652089659554
Mean,2,23,-0.008026361449942647
Mean,2,24,-0.006904856980630915
Mean,2,25,0.00010503661828520881
Mean,2,26,-0.003440400860348988
Mean,2,27,-0.0013969963339168926
Mean,2,28,0.0010481367279363521
Mean,2,29,0.00264073765188327
Mean,2,30,-0.001922910659861195
Mean,2,31,0.0007705142564115738
Mean,2,32,-0.002482220302804232
Mean,2,33,-0.001459691307111351
Mean,2,34,-0.0012885258290625166
Mean,2,35,-0.0022386443399907375
Mean,2,36,-0.003626017442972247
Mean,2,37,-0.004741411902088819
Mean,2,38,-0.0022428147008225945
Mean,2,39,-0.003003020537672596
Mean,3,0,0.029561789430962836
Mean,3,1,0.019468253826860526
Mean,3,2,0.009445941448852843
Mean,3,3,0.003943742274651144
Mean,3,4,-0.0036070053119510144
Mean,3,5,0.001766152024330332
Mean,3,6,-0.0029636640898801914
