Date,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
NA,5,2,2,5,4,5,5,5,2,6,5,2,1,1,1,1,1,2,2,1
30/01/1959,22.0733,80.1973,6,52478,1657,17.272,18235.77392,14716.48296,NA,33.1,NA,2.48,1.64,2.39,0.82,0.34,1.54,3.36,4.02,1.2
27/02/1959,22.5056,81.4428,5.9,52688,1667,17.452,18369.56308,15400.24873,NA,33.2,NA,2.43,1.71,2.46,0.83,0.27,1.53,3.54,3.96,1.26
31/03/1959,22.8298,82.4769,5.6,53014,1620,17.617,18523.05762,15745.42348,NA,33.2,NA,2.8,1.33,2.05,0.55,0,1.19,3.61,3.99,1.19
30/04/1959,23.3161,83.9922,5.2,53321,1590,17.553,18534.466,15919.42165,NA,33.2,NA,2.96,1.27,1.9,0.46,-0.01,1.16,3.72,4.12,1.17
29/05/1959,23.6673,84.9159,5.1,53550,1498,17.765,18679.66354,15248.8233,NA,33.3,NA,2.9,1.47,2.06,0.66,-0.06,1.41,3.96,4.31,1.47
30/06/1959,23.6944,84.7686,5,53681,1503,17.831,18849.75209,15961.74553,NA,33.2,NA,3.39,1.07,1.65,0.44,-0.18,0.95,4.07,4.34,1.13
31/07/1959,23.127,82.9798,5.1,53804,1547,17.77,18843.52934,14743.75835,NA,33.1,NA,3.47,1,1.61,0.51,-0.27,0.93,4.39,4.4,1.2
31/08/1959,22.3435,79.4676,5.2,53336,1430,17.877,18963.83587,14046.82514,NA,33,NA,3.5,0.93,1.59,0.47,-0.12,0.93,4.42,4.43,1.05
30/09/1959,22.3165,79.0489,5.5,53428,1540,18.057,18715.96293,14429.62111,NA,33.4,NA,3.76,0.76,1.42,0.87,0.28,0.92,5,4.68,0.64
30/10/1959,22.1544,78.1537,5.7,53358,1355,17.934,18852.86346,14702.375,NA,33.1,NA,3.98,0.59,1.3,0.75,0.07,0.55,4.8,4.53,0.48
30/11/1959,22.2894,78.5051,5.8,53634,1416,17.926,18356.08045,13876.58909,NA,33,NA,4,0.56,1.26,0.67,0.15,0.53,4.81,4.53,0.38
31/12/1959,23.6673,83.5682,5.3,54174,1601,17.906,18271.03618,15165.11607,NA,33,NA,3.99,0.59,1.29,0.89,0.5,0.7,5.14,4.69,0.2
29/01/1960,24.2887,85.5616,5.2,54274,1460,17.956,18763.67069,14584.80867,NA,33.1,NA,3.99,0.62,1.35,0.92,0.36,0.73,5.03,4.72,0.37
29/02/1960,24.0726,84.6108,4.8,54513,1503,18.034,18833.15808,14535.90107,NA,33.1,NA,3.97,0.59,1.37,0.69,-0.01,0.52,4.66,4.49,0.53
31/03/1960,23.8565,83.2421,5.4,54454,1109,18.289,18812.41558,14375.07033,NA,33.4,NA,3.84,0.65,1.41,0.65,-0.53,0.41,4.02,4.25,0.94
29/04/1960,23.6673,82.2593,5.2,54813,1289,18.572,19306.08721,14220.82331,NA,33.4,NA,3.92,0.53,1.28,0.24,-0.69,0.36,4.04,4.28,1.05
31/05/1960,23.6403,81.4711,5.1,54475,1271,18.198,19017.76638,14392.94042,NA,33.4,NA,3.85,0.61,1.43,0.4,-0.56,0.5,4.21,4.35,1.06
30/06/1960,23.3431,80.2236,5.4,54348,1247,18.194,18991.83825,14668.51589,NA,33.4,NA,3.32,1.13,1.94,0.49,-0.86,0.83,3.36,4.15,1.69
29/07/1960,23.2621,79.7275,5.5,54306,1197,18.231,18801.0072,14169.09412,NA,33.5,NA,3.23,1.18,1.99,0.16,-0.93,0.67,3.2,3.9,1.6
31/08/1960,23.235,79.0505,5.6,54272,1344,18.213,18865.30897,15031.56072,NA,33.4,NA,2.98,1.3,2.1,0.36,-0.68,0.82,2.95,3.8,1.5
30/09/1960,22.9919,77.9187,5.5,54227,1097,18.3,18847.67784,14926.22129,NA,33.4,NA,2.6,1.65,2.41,0.79,-0.12,1.2,3.07,3.8,1.32
31/10/1960,22.9649,77.5287,6.1,54142,1246,18.389,19013.61788,13829.56256,NA,33.7,NA,2.47,1.83,2.64,0.83,-0.17,1.42,3.04,3.89,1.59
30/11/1960,22.6407,75.7724,6.1,53961,1246,18.325,18741.89106,13856.83795,NA,33.7,NA,2.44,1.87,2.64,0.84,-0.07,1.49,3.08,3.93,1.56
30/12/1960,22.2084,74.2557,6.6,53742,1063,18.1,18604.99052,14035.53877,NA,33.6,NA,1.98,2.37,3.12,1.25,0.27,1.86,2.86,3.84,1.59
31/01/1961,22.2354,74.1095,6.6,53683,1183,18.145,18619.51027,13253.95781,NA,33.6,NA,1.45,2.87,3.65,1.53,0.79,2.39,2.81,3.84,1.6
28/02/1961,22.2084,73.512,6.9,53557,1226,18.212,18553.13426,13584.08406,NA,33.7,NA,2.54,1.73,2.53,0.49,-0.12,1.24,2.93,3.78,1.36
31/03/1961,22.3435,73.8637,6.9,53659,1312,18.438,18749.15093,13613.24051,NA,33.6,NA,2.02,2.2,3,1.01,0.37,1.72,2.88,3.74,1.35
28/04/1961,22.8028,75.3829,7,53627,1166,18.447,18417.27084,14422.09687,NA,33.4,NA,1.49,2.76,3.52,1.42,0.8,2.29,2.88,3.78,1.49
31/05/1961,23.154,76.356,7.1,53786,1228,18.559,18694.18329,14598.91663,NA,33.3,NA,1.98,2.29,3.03,0.78,0.31,1.73,2.87,3.71,1.42
30/06/1961,23.4782,77.3241,6.9,53977,1382,18.604,18833.15808,14936.56713,NA,33.3,NA,1.73,2.6,3.3,1.18,0.6,2.15,3.06,3.88,1.55
31/07/1961,23.7484,78.1087,7,54123,1335,18.548,18818.63833,14698.61287,NA,33.3,NA,1.17,3.24,3.92,1.55,1.07,2.75,2.92,3.92,1.68
31/08/1961,23.9645,78.9783,6.6,54298,1312,18.615,19026.06339,15567.66319,NA,33.4,NA,2,2.45,3.11,0.92,0.39,2.04,3.06,4.04,1.65
29/09/1961,23.9375,78.1562,6.7,54388,1429,18.718,19059.2514,15326.88734,NA,33.3,NA,1.88,2.57,3.24,1.17,0.4,2.1,3.06,3.98,1.7
31/10/1961,24.3968,79.5528,6.5,54522,1415,18.836,19402.53987,15452.91845,NA,33.3,NA,2.26,2.16,2.87,0.74,0.04,1.66,3.05,3.92,1.62
30/11/1961,24.775,80.7658,6.1,54742,1385,19.018,19539.4404,15980.55614,NA,33.4,NA,2.61,1.78,2.5,0.37,-0.13,1.33,3.07,3.94,1.46
29/12/1961,24.9912,81.6041,6,54872,1365,19.15,19546.70028,16493.14534,NA,33.4,NA,2.33,2.09,2.77,0.86,0.27,1.73,3.18,4.06,1.46
31/01/1962,24.775,80.2408,5.8,54891,1361,19.156,19714.71458,16430.12979,NA,33.5,NA,2.15,2.27,2.93,1.11,0.57,1.93,3.28,4.08,1.36
28/02/1962,25.1803,81.4267,5.5,55188,1278,19.147,19716.78883,16525.12338,NA,33.6,NA,2.37,2.05,2.7,0.85,0.36,1.67,3.28,4.04,1.31
30/03/1962,25.3154,81.8912,5.6,55275,1443,19.306,20048.66892,16041.69063,NA,33.5,NA,2.85,1.54,2.19,0.4,-0.13,1.08,3.06,3.93,1.21
30/04/1962,25.3694,81.7429,5.6,55602,1524,19.373,20157.56707,15825.36858,NA,33.5,NA,2.78,1.55,2.24,0.42,-0.05,1.06,2.99,3.84,1.11
31/05/1962,25.3424,81.3349,5.5,55628,1483,19.521,20294.46761,15891.20573,NA,33.4,NA,2.36,1.92,2.64,0.8,0.33,1.51,3.03,3.87,1.18
29/06/1962,25.2884,80.9291,5.5,55644,1404,19.423,20034.14917,15796.21213,NA,33.4,NA,2.68,1.6,2.34,0.57,0.05,1.23,3.03,3.91,1.18
