Date,Q1
NA,5
31/03/1959,3123.978
30/06/1959,3194.429
30/09/1959,3196.683
31/12/1959,3205.79
31/03/1960,3277.847
30/06/1960,3260.177
30/09/1960,3276.133
30/12/1960,3234.087
31/03/1961,3255.914
30/06/1961,3311.181
29/09/1961,3374.742
29/12/1961,3440.924
30/03/1962,3502.298
29/06/1962,3533.947
28/09/1962,3577.362
31/12/1962,3589.128
29/03/1963,3628.306
28/06/1963,3669.02
30/09/1963,3749.681
31/12/1963,3774.264
31/03/1964,3853.835
30/06/1964,3895.793
30/09/1964,3956.657
31/12/1964,3968.878
31/03/1965,4064.915
30/06/1965,4116.267
30/09/1965,4207.782
31/12/1965,4304.731
31/03/1966,4409.518
30/06/1966,4424.581
30/09/1966,4462.053
30/12/1966,4498.66
31/03/1967,4538.498
30/06/1967,4541.28
29/09/1967,4584.246
29/12/1967,4618.812
29/03/1968,4713.013
28/06/1968,4791.758
30/09/1968,4828.892
31/12/1968,4847.885
31/03/1969,4923.76
30/06/1969,4938.728
30/09/1969,4971.349
31/12/1969,4947.104
31/03/1970,4939.759
30/06/1970,4946.77
30/09/1970,4992.357
31/12/1970,4938.857
31/03/1971,5072.996
30/06/1971,5100.447
30/09/1971,5142.422
31/12/1971,5154.547
31/03/1972,5249.337
30/06/1972,5368.485
29/09/1972,5419.184
29/12/1972,5509.926
30/03/1973,5646.286
29/06/1973,5707.755
28/09/1973,5677.738
31/12/1973,5731.632
29/03/1974,5682.353
28/06/1974,5695.859
30/09/1974,5642.025
31/12/1974,5620.126
31/03/1975,5551.713
30/06/1975,5591.382
30/09/1975,5687.087
31/12/1975,5763.665
31/03/1976,5893.276
30/06/1976,5936.515
30/09/1976,5969.089
31/12/1976,6012.356
31/03/1977,6083.391
30/06/1977,6201.659
30/09/1977,6313.559
30/12/1977,6313.697
31/03/1978,6333.848
30/06/1978,6578.605
29/09/1978,6644.754
29/12/1978,6734.069
30/03/1979,6746.176
29/06/1979,6753.389
28/09/1979,6803.558
31/12/1979,6820.572
31/03/1980,6842.024
30/06/1980,6701.046
30/09/1980,6693.082
31/12/1980,6817.903
31/03/1981,6951.495
30/06/1981,6899.98
30/09/1981,6982.609
31/12/1981,6906.529
31/03/1982,6799.233
30/06/1982,6830.251
30/09/1982,6804.139
31/12/1982,6806.857
31/03/1983,6896.561
30/06/1983,7053.5
30/09/1983,7194.504
30/12/1983,7344.597
30/03/1984,7488.167
29/06/1984,7617.547
28/09/1984,7690.985
31/12/1984,7754.117
29/03/1985,7829.26
28/06/1985,7898.194
30/09/1985,8018.809
31/12/1985,8078.415
31/03/1986,8153.829
30/06/1986,8190.552
30/09/1986,8268.935
31/12/1986,8313.338
31/03/1987,8375.274
30/06/1987,8465.63
30/09/1987,8539.075
31/12/1987,8685.694
31/03/1988,8730.569
30/06/1988,8845.28
30/09/1988,8897.107
30/12/1988,9015.661
31/03/1989,9107.314
30/06/1989,9176.827
29/09/1989,9244.816
29/12/1989,9263.033
30/03/1990,9364.259
29/06/1990,9398.243
28/09/1990,9404.494
31/12/1990,9318.876
29/03/1991,9275.276
28/06/1991,9347.597
30/09/1991,9394.834
31/12/1991,9427.581
31/03/1992,9540.444
30/06/1992,9643.893
30/09/1992,9739.185
31/12/1992,9840.753
31/03/1993,9857.185
30/06/1993,9914.565
30/09/1993,9961.873
31/12/1993,10097.362
31/03/1994,10195.338
30/06/1994,10333.495
30/09/1994,10393.898
30/12/1994,10512.962
31/03/1995,10550.251
30/06/1995,10581.723
29/09/1995,10671.738
29/12/1995,10744.203
29/03/1996,10824.674
28/06/1996,11005.217
30/09/1996,11103.935
31/12/1996,11219.238
31/03/1997,11291.665
30/06/1997,11479.33
30/09/1997,11622.911
31/12/1997,11722.722
31/03/1998,11839.876
30/06/1998,11949.492
30/09/1998,12099.191
31/12/1998,12294.737
31/03/1999,12410.778
30/06/1999,12514.408
30/09/1999,12679.977
31/12/1999,12888.281
31/03/2000,12935.252
30/06/2000,13170.749
29/09/2000,13183.89
29/12/2000,13262.25
30/03/2001,13219.251
29/06/2001,13301.394
28/09/2001,13248.142
31/12/2001,13284.881
29/03/2002,13394.91
28/06/2002,13477.356
30/09/2002,13531.741
31/12/2002,13549.421
31/03/2003,13619.434
30/06/2003,13741.107
30/09/2003,13970.157
31/12/2003,14131.379
31/03/2004,14212.34
30/06/2004,14323.017
30/09/2004,14457.832
31/12/2004,14605.595
31/03/2005,14767.846
30/06/2005,14839.707
30/09/2005,14956.291
30/12/2005,15041.232
31/03/2006,15244.088
30/06/2006,15281.525
29/09/2006,15304.517
29/12/2006,15433.643
30/03/2007,15478.956
29/06/2007,15577.779
28/09/2007,15671.605
31/12/2007,15767.146
31/03/2008,15702.906
30/06/2008,15792.773
30/09/2008,15709.562
31/12/2008,15366.607
31/03/2009,15187.475
30/06/2009,15161.772
30/09/2009,15216.647
